Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-02.03550     8.56722   51.187836 -125.828767   -0.347    0.132  1
RGI60-02.06587     8.51083   52.131632 -117.473014   -0.331    0.138  1
RGI60-02.05154     8.49053   51.640519 -125.968340   -0.456    0.122  1
RGI60-02.03920     8.42716   51.277806 -117.957352   -0.681    0.152  1
RGI60-02.02948     8.35801   51.033908 -123.724670   -0.565    0.124  1
RGI60-02.02561     8.35338   50.936811 -124.489696   -0.679    0.147  1
RGI60-02.06430     8.33641   52.090590 -126.963323   -0.679    0.141  1
RGI60-02.09591     8.26259   53.365827 -128.262277   -1.001    0.154  1
RGI60-02.04392     8.22106   51.143559 -125.354888   -0.564    0.127  1
RGI60-02.00651     8.10546   50.150453 -122.763516   -0.858    0.149  1
RGI60-02.02402     8.08634   50.774375 -124.118814   -0.400    0.131  1
RGI60-02.03711     8.05275   51.235369 -118.550479   -0.960    0.171  1
RGI60-02.02379     8.04975   50.735091 -124.511382   -0.475    0.136  1
RGI60-02.02747     8.02373   50.976388 -123.474191   -1.067    0.144  1
RGI60-02.14256     7.99907   46.901372 -121.773273   -0.377    0.112  1
RGI60-02.06478     7.98045   51.796217 -126.004261   -0.157    0.118  1
RGI60-02.11134     7.95314   54.657469 -129.421880   -1.099    0.180  1
RGI60-02.09255     7.93866   53.202848 -119.328811   -0.436    0.124  1
RGI60-02.10389     7.93777   53.955885 -128.030423   -0.494    0.127  1
RGI60-02.04373     7.90847   51.412195 -125.075899   -0.224    0.113  1
RGI60-02.01193     7.89631   50.424031 -123.935480   -0.347    0.119  1
RGI60-02.08090     7.88513   52.764430 -120.272174   -0.327    0.139  1
RGI60-02.07923     7.86543   52.711531 -119.649346   -0.305    0.126  1
RGI60-02.12438     7.84812   52.201600 -117.301550   -0.596    0.155  1
RGI60-02.01338     7.80674   50.345611 -123.187212   -0.679    0.133  1
RGI60-02.03089     7.71082   51.071534 -117.482899   -0.536    0.142  1
RGI60-02.14323     7.67627   46.838301 -121.805816   -0.240    0.107  1
RGI60-02.02432     7.67356   50.775522 -124.080847   -0.923    0.157  1
RGI60-02.03644     7.65785   51.221038 -125.794326   -0.599    0.142  1
RGI60-02.11040     7.59867   54.601932 -129.125568   -1.087    0.181  1
RGI60-02.03070     7.53516   51.071758 -117.360983   -0.276    0.141  1
RGI60-02.07595     7.52871   52.543069 -119.960147   -0.724    0.135  1
RGI60-02.02410     7.52441   50.706874 -123.856934   -0.389    0.118  1
RGI60-02.07565     7.52218   52.529508 -117.321578   -0.581    0.146  1
RGI60-02.03945     7.50866   51.311762 -118.574372   -0.629    0.153  1
